SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
AIDA CARA;10/2017;B;94,84;255;Cruise Ship Inspection Program 2017/2018 -  November 2017
ZAANDAM;11/2019;C;92,10;395;Cruise Ship Inspection Program 2019/2020 - November 2019
CELEBRITY INFINITY;02/2016;C;92,63;365;Cruise Ship Inspection Program 2015/2016 - February 2016
GRAND CELEBRATION;02/2014;B;95,11;230;Cruise Ship Inspection Program 2013/2014 - February 2014
MSC POESIA;11/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  November 2017
PACIFIC PRINCESS;01/2011;C;88,87;370;Cruise Ship Inspection Program 2010/2011 - January 2011
VEENDAM;03/2011;C;87,11;375;Cruise Ship Inspection Program 2010/2011 - March 2011
SPLENDOUR OF THE SEA;03/2012;C;92,89;360;Cruise Ship Inspection Program 2011/2012 - March 2012
BALMORAL;01/2020;B;96,57;170;Cruise Ship Inspection Program 2019/2020 -  January 2020
STAR PRINCESS;12/2010;C;88,54;380;Cruise Ship Inspection Program 2010/2011 - December 2010
CELEBRITY INFINITY;02/2018;B;96,60;170;Cruise Ship Inspection Program 2017/2018 -  February 2018
OCEAN DREAM;01/2017;B;95,90;205;Cruise Ship Inspection Program 2016/2017 - January 2017
NATIONAL GEOGRAPHIC ;10/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - October 2013
SEVEN SEAS MARINER;03/2017;A;99,70;15;Cruise Ship Inspection Program 2016/2017 - March 2017
MSC ORCHESTRA;11/2011;B;93,62;300;Cruise Ship Inspection Program 2011/2012 - November 2011
COSTA FORTUNA;03/2013;B;94,24;290;Cruise Ship Inspection Program 2012/2013 - March 2013
MSC MUSICA;03/2012;D;84,11;805;Cruise Ship Inspection Program 2011/2012 - March 2012
MSC MUSICA;11/2017;A;99,50;25;Cruise Ship Inspection Program 2017/2018 -  November 2017
SEVEN SEAS MARINER;11/2012;B;94,91;250;Cruise Ship Inspection Program 2012/2013 - November 2012
AZAMARA QUEST;02/2013;C;91,06;450;Cruise Ship Inspection Program 2012/2013 - February 2013
SEABOURN QUEST;01/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - January 2012
SEVEN SEAS NAVIGATOR;12/2012;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - December 2012
EMPRESS (IMPERATRIZ);12/2012;A;99,40;30;Cruise Ship Inspection Program 2012/2013 - December 2012
PACIFIC PRINCESS;04/2019;A;97,58;120;Cruise Ship Inspection Program 2018/2019 - April 2019
WORLD ODYSSEY;11/2019;A;98,20;54;Cruise Ship Inspection Program 2019/2020 - November 2019
EXPLORER;02/2011;A;98,18;36;Cruise Ship Inspection Program 2010/2011 - January 2011
AIDA AURA;11/2019;A;98,40;80;Cruise Ship Inspection Program 2019/2020 - November 2019
MSC PREZIOSA;02/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  February 2018
THE WORLD;02/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - February 2016
BLACK WATCH;01/2011;D;83,53;545;Cruise Ship Inspection Program 2010/2011 - January 2011
REGATTA;03/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - March 2015
ORIANA;02/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - February 2017
CROWN PRINCESS;02/2014;B;95,01;245;Cruise Ship Inspection Program 2013/2014 - February 2014
EMPRESS (IMPERATRIZ);03/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - March 2012
SEVEN SEAS MARINER;03/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - March 2013
VOLENDAM;11/2019;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  December 2019
COSTA VITORIA;12/2010;D;84,50;520;Cruise Ship Inspection Program 2010/2011 - December 2010
SOVEREIGN (SOBERANO);12/2017;B;94,40;280;Cruise Ship Inspection Program 2017/2018 -  December 2017
AMADEA;02/2017;C;91,52;430;Cruise Ship Inspection Program 2016/2017 - February 2017
OCEAN DREAM;10/2011;D;74,55;964;Cruise Ship Inspection Program 2011/2012  - October 2011
SEVEN SEAS MARINER;02/2012;B;95,49;225;Cruise Ship Inspection Program 2011/2012 - February 2012
SEABOURN QUEST;11/2013;A;96,97;150;Cruise Ship Inspection Program 2013/2014 - novembro 2013
SOVEREIGN (SOBERANO);12/2010;A;96,42;120;Cruise Ship Inspection Program 2010/2011 - December 2010
MSC ORCHESTRA;03/2012;B;95,16;245;Cruise Ship Inspection Program 2011/2012 - March 2012
SEVEN SEAS MARINER;12/2019;A;99,90;5;Cruise Ship Inspection Program 2019/2020 -  December 2019
COSTA FASCINOSA;01/2017;A;99,60;20;Cruise Ship Inspection Program 2016/2017 - December 2016
BREMEN;03/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - March 2015
AIDA CARA;11/2013;C;93,52;310;Cruise Ship Inspection Program 2013/2014 - novembro 2013
AMSTERDAM;01/2020;A;97,90;105;Cruise Ship Inspection Program 2019/2020 -  January 2020
HANSEATIC;11/2015;A;96,93;145;Cruise Ship Inspection Program 2015/2016 - November 2015
MSC MAGNIFICA;12/2014;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - December 2014
INSIGNIA;01/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - January 2016
COSTA FORTUNA;12/2012;B;95,87;205;Cruise Ship Inspection Program 2012/2013 - December 2012
SPLENDOUR OF THE SEA;12/2011;D;90,29;485;Cruise Ship Inspection Program 2011/2012 - December 2011
OCEAN DREAM;11/2011;B;93,92;244;Cruise Ship Inspection Program 2011/2012 - December 2011
INSIGNIA;01/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  January 2018
QUEEN MARY II;02/2016;B;92,47;225;Cruise Ship Inspection Program 2015/2016 - February 2016
BLACK WATCH;01/2015;A;99,10;45;Cruise Ship Inspection Program 2014/2015 - January 2015
MSC ORCHESTRA;11/2018;B;96,30;185;Cruise Ship Inspection Program 2018/2019 -  November 2018
AMADEA;01/2016;B;95,08;240;Cruise Ship Inspection Program 2015/2016 - January 2016
HAMBURG;01/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - January 2015
WORLD ODYSSEY;11/2015;A;95,16;138;Cruise Ship Inspection Program 2015/2016 - November 2015
GOLDEN PRINCESS;01/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - January 2015
SIRENA;10/2017;A;96,74;93;Cruise Ship Inspection Program 2017/2018 -  October 2017
MAGELLAN;01/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  January 2018
REGATTA;11/2011;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - November 2011
ZENITH;02/2012;A;98,22;90;Cruise Ship Inspection Program 2011/2012 - February 2012
AIDA VITA;12/2012;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - November 2012
SEABOURN SOJOURN;01/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  January 2018
MSC POESIA;02/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - February 2014
ASTORIA;09/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 - September 2017
MARINA;11/2014;A;98,36;80;Cruise Ship Inspection Program 2014/2015 - November 2014
AMSTERDAM;01/2012;A;98,81;48;Cruise Ship Inspection Program 2011/2012 - January 2012
GRAND CELEBRATION;03/2011;D;85,84;475;Cruise Ship Inspection Program 2010/2011 - March 2011
MSC LIRICA;11/2014;A;98,40;80;Cruise Ship Inspection Program 2014/2015 - November 2014
BREMEN;04/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - April 2016 
CARNIVAL SPLENDOR;03/2013;A;98,70;65;Cruise Ship Inspection Program 2012/2013 - March 2013
ZENITH;12/2014;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - December 2014
HAMBURG;01/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  January 2018
BALMORAL;03/2012;C;89,93;408;Cruise Ship Inspection Program 2011/2012 - March 2012
ZAANDAM;11/2017;B;95,89;200;Cruise Ship Inspection Program 2017/2018 -  November 2017
SEABOURN QUEST;03/2019;B;96,30;185;Cruise Ship Inspection Program 2018/2019 - March 2019
SIRENA;11/2016;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - November 2016
LE LYRIAL;10/2018;A;100,00;0;Cruise Ship Inspection Program 2018/2019 -  October 2018
MSC MAGNIFICA;12/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  December 2017
SILVER SPIRIT;12/2016;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - November 2016
AIDA VITA;02/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - January 2012
LE LEVANT;02/2011;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - December 2010
ASUKA II;02/2016;A;97,30;135;Cruise Ship Inspection Program 2015/2016 - February 2016
MSC PREZIOSA;12/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - December 2013
SEA ADVENTURER;04/2012;B;93,98;244;Cruise Ship Inspection Program 2011/2012 - March 2012
HAMBURG;12/2016;C;92,80;360;Cruise Ship Inspection Program 2016/2017 - December 2016
BREMEN;04/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - April 2012
MSC MAGNIFICA;12/2013;B;96,17;190;Cruise Ship Inspection Program 2013/2014 - December 2013
SEABOURN SOJOURN;03/2013;A;99,39;30;Cruise Ship Inspection Program 2012/2013 - March 2013
COSTA FASCINOSA;12/2019;B;94,90;255;Cruise Ship Inspection Program 2019/2020 -  December 2019
SILVER SPIRIT;02/2016;B;94,50;275;Cruise Ship Inspection Program 2015/2016 - January 2016
BREMEN;05/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - maio 2014
LAUSTRAL;03/2019;D;88,50;560;Cruise Ship Inspection Program 2018/2019 - March 2019
COSTA PACIFICA;03/2012;B;96,05;160;Cruise Ship Inspection Program 2011/2012 - March 2012
COSTA PACIFICA;12/2014;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - December 2014
ADONIA;03/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - November 2015
MSC LIRICA;12/2015;B;95,30;235;Cruise Ship Inspection Program 2015/2016 - December 2015
MSC POESIA;12/2019;A;98,39;80;Cruise Ship Inspection Program 2019/2020 -  December 2019
AMADEA;01/2020;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  January 2020
EXPLORER;01/2012;A;98,17;54;Cruise Ship Inspection Program 2011/2012 - January 2012
MSC FANTASIA;12/2012;A;98,62;42;Cruise Ship Inspection Program 2012/2013 - December 2012
MARCO POLO;12/2010;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - January 2011
AIDA CARA;01/2011;D;79,43;690;Cruise Ship Inspection Program 2010/2011 - January 2011
NATIONAL GEOGRAPHIC ;04/2016;A;98,40;80;Cruise Ship Inspection Program 2015/2016 - March 2016 
MSC ARMONIA;01/2011;B;91,36;290;Cruise Ship Inspection Program 2010/2011 - January 2011
MARINA;12/2013;A;97,48;125;Cruise Ship Inspection Program 2013/2014 - December 2013
VEENDAM;11/2011;D;78,32;750;Cruise Ship Inspection Program 2011/2012 - November 2011
MSC PREZIOSA;11/2017;D;88,70;565;Cruise Ship Inspection Program 2017/2018 -  November 2017
SEVEN SEAS NAVIGATOR;06/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - June 2017
BREMEN;04/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  April 2018
COSTA MAGICA;12/2011;B;93,24;268;Cruise Ship Inspection Program 2011/2012 - December 2011
GRAND MISTRAL;10/2011;A;100,00;0;Cruise Ship Inspection Program 2011/2012  - October 2011
AURORA;01/2019;A;100,00;0;Cruise Ship Inspection Program 2018/2019 - January 2019
GRAND MISTRAL;11/2010;B;91,45;285;Cruise Ship Inspection Program 2010/2011 - November 2010
ALBATROS;01/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - January 2014
OCEAN DREAM;02/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - February 2016
GRAND CELEBRATION;11/2013;D;88,60;565;Cruise Ship Inspection Program 2013/2014 - novembro 2013
DISCOVERY;01/2011;B;94,87;170;Cruise Ship Inspection Program 2010/2011 - January 2011
SILVER WHISPER;11/2011;C;93,98;305;Cruise Ship Inspection Program 2011/2012 - November 2011
MSC MUSICA;03/2011;B;91,14;275;Cruise Ship Inspection Program 2010/2011 - March 2011
SILVER CLOUD;02/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - February 2014
COSTA SERENA;03/2011;B;92,85;240;Cruise Ship Inspection Program 2010/2011 - March 2011
AMERA (PRINSENDAM);12/2014;B;96,21;185;Cruise Ship Inspection Program 2014/2015 - December 2014
COSTA MAGICA;03/2012;A;99,80;8;Cruise Ship Inspection Program 2011/2012 - March 2012
SEVEN SEAS MARINER;03/2011;D;73,28;875;Cruise Ship Inspection Program 2010/2011 - March 2011
REGATTA;03/2013;B;96,36;180;Cruise Ship Inspection Program 2012/2013 - March 2013
MSC FANTASIA;11/2018;A;97,00;150;Cruise Ship Inspection Program 2018/2019 -  November 2018
VISION OF THE SEAS;12/2010;C;86,24;450;Cruise Ship Inspection Program 2010/2011 - December 2010
AIDA AURA;10/2018;B;96,80;160;Cruise Ship Inspection Program 2018/2019 -  October 2018
MARINA;12/2016;B;96,70;165;Cruise Ship Inspection Program 2016/2017 - December 2016
HANSEATIC;03/2018;A;98,40;80;Cruise Ship Inspection Program 2017/2018 -  February 2018
COSTA FASCINOSA;12/2017;A;98,00;100;Cruise Ship Inspection Program 2017/2018 -  December 2017
MAASDAM;01/2016;A;98,20;90;Cruise Ship Inspection Program 2015/2016 - January 2016
COSTA SERENA;12/2010;C;90,00;315;Cruise Ship Inspection Program 2010/2011 - December 2010
MSC ORCHESTRA;11/2013;B;96,53;170;Cruise Ship Inspection Program 2013/2014 - novembro 2013
MAGELLAN;01/2020;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  January 2020
MARCO POLO;01/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - January 2012
MSC MAGNIFICA;03/2013;A;97,40;130;Cruise Ship Inspection Program 2012/2013 - March 2013
MARINA;12/2019;A;98,60;70;Cruise Ship Inspection Program 2019/2020 -  December 2019
MARCO POLO;01/2016;A;97,18;135;Cruise Ship Inspection Program 2015/2016 - January 2016
HANSEATIC;04/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - April 2017
MARCO POLO;01/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - January 2017
CRYSTAL SYMPHONY;03/2012;A;98,82;60;Cruise Ship Inspection Program 2011/2012 - March 2012
VEENDAM;02/2012;A;99,39;30;Cruise Ship Inspection Program 2011/2012 - February 2012
GRAND HOLIDAY;12/2011;D;89,44;535;Cruise Ship Inspection Program 2011/2012 - November 2011
THE WORLD;02/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  February 2018
MAASDAM;02/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - February 2014
AUSTRAL;03/2013;B;94,58;270;Cruise Ship Inspection Program 2012/2013 - March 2013
COLUMBUS 2;12/2013;C;88,09;354;Cruise Ship Inspection Program 2013/2014 - December 2013
MINERVA;02/2014;B;95,96;195;Cruise Ship Inspection Program 2013/2014 - February 2014
AIDA VITA;06/2011;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - April 2011
ASTOR;12/2019;A;97,50;125;Cruise Ship Inspection Program 2019/2020 -  December 2019
MSC MUSICA;11/2019;A;98,00;100;Cruise Ship Inspection Program 2019/2020 - November 2019
VISION OF THE SEAS;12/2011;D;90,72;470;Cruise Ship Inspection Program 2011/2012 - December 2011
SEVEN SEAS NAVIGATOR;04/2018;C;91,69;405;Cruise Ship Inspection Program 2017/2018 -  April 2018
PRINCESS DANAE;02/2011;A;98,81;40;Cruise Ship Inspection Program 2010/2011 - February 2011
ASTOR;02/2012;D;86,60;508;Cruise Ship Inspection Program 2011/2012 - February 2012
EUROPA 2;02/2020;A;97,29;135;Cruise Ship Inspection Program 2019/2020 -  February 2020
AZAMARA JOURNEY;11/2011;B;95,92;160;Cruise Ship Inspection Program 2011/2012 - November 2011
EMPRESS (IMPERATRIZ);03/2014;A;97,07;145;Cruise Ship Inspection Program 2013/2014 - March 2014
MSC OPERA;11/2011;B;94,74;265;Cruise Ship Inspection Program 2011/2012 - November 2011
SOVEREIGN (SOBERANO);12/2019;A;99,30;35;Cruise Ship Inspection Program 2019/2020 -  December 2019
CELEBRITY ECLIPSE;02/2020;B;94,20;232;Cruise Ship Inspection Program 2019/2020 -  February 2020
COSTA SERENA;12/2012;B;95,54;220;Cruise Ship Inspection Program 2012/2013 - December 2012
CORAL PRINCESS;12/2019;B;96,40;175;Cruise Ship Inspection Program 2019/2020 -  December 2019
MSC ORCHESTRA;11/2016;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - November 2016
SOVEREIGN (SOBERANO);01/2012;B;94,57;275;Cruise Ship Inspection Program 2011/2012 - January 2012
REGATTA;02/2013;C;91,66;420;Cruise Ship Inspection Program 2012/2013 - February 2013
INSIGNIA;12/2010;D;82,58;540;Cruise Ship Inspection Program 2010/2011 - December 2010
SEA DREAM II;02/2012;B;95,37;220;Cruise Ship Inspection Program 2011/2012 - February 2012
GRAND MISTRAL;02/2012;C;91,91;410;Cruise Ship Inspection Program 2011/2012 - February 2012
VIKING SEA;01/2020;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  January 2020
AMERA (PRINSENDAM);12/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - December 2013
MARCO POLO;01/2014;A;99,60;20;Cruise Ship Inspection Program 2013/2014 - January 2014
COSTA VITORIA;12/2011;A;97,99;100;Cruise Ship Inspection Program 2011/2012 - December 2011
VIKING SEA;12/2018;A;100,00;0;Cruise Ship Inspection Program 2018/2019 -  December 2018
BRAEMAR;02/2012;C;86,54;399;Cruise Ship Inspection Program 2011/2012 - February 2012
SILVER WHISPER;11/2018;B;96,03;190;Cruise Ship Inspection Program 2018/2019 -  November 2018
LE CHAMPLAIN;11/2018;C;92,80;360;Cruise Ship Inspection Program 2018/2019 -  November 2018
SEVEN SEAS MARINER;12/2013;B;94,55;270;Cruise Ship Inspection Program 2013/2014 - December 2013
AIDA VITA;10/2010;B;94,15;195;Cruise Ship Inspection Program 2010/2011 - October 2010
ISLAND PRINCESS;02/2020;B;94,65;265;Cruise Ship Inspection Program 2019/2020 -  February 2020
BRAEMAR;02/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  February 2018
MSC OPERA;02/2012;D;89,97;495;Cruise Ship Inspection Program 2011/2012 - February 2012
WORLD ODYSSEY;11/2016;A;99,05;27;Cruise Ship Inspection Program 2016/2017 - November 2016
INSIGNIA;12/2011;B;96,59;170;Cruise Ship Inspection Program 2011/2012 - December 2011
