SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
AIDA CARA;03/2014;A;97,07;145;Cruise Ship Inspection Program 2013/2014 - March 2014
ADONIA;02/2012;A;98,89;44;Cruise Ship Inspection Program 2011/2012 - February 2012
GRAND MISTRAL;01/2013;C;92,10;400;Cruise Ship Inspection Program 2012/2013 - January 2013
COSTA FORTUNA;12/2011;B;94,60;265;Cruise Ship Inspection Program 2011/2012 - December 2011
AMERA (PRINSENDAM);12/2015;B;96,00;200;Cruise Ship Inspection Program 2015/2016 - December 2015
SOVEREIGN (SOBERANO);11/2013;B;95,36;230;Cruise Ship Inspection Program 2013/2014 - novembro 2013
HAMBURG;12/2018;B;94,01;290;Cruise Ship Inspection Program 2018/2019 -  December 2018
ALBATROS;01/2011;D;77,94;740;Cruise Ship Inspection Program 2010/2011 - December 2010
WORLD EXPLORER;10/2019;A;97,40;125;Cruise Ship Inspection Program 2019/2020 - October 2019
EXPLORER;11/2014;A;98,11;90;Cruise Ship Inspection Program 2014/2015 - November 2014
MAASDAM;02/2013;D;84,31;790;Cruise Ship Inspection Program 2012/2013 - February 2013
COSTA VITORIA;02/2011;A;99,70;10;Cruise Ship Inspection Program 2010/2011 - February 2011
LE LYRIAL;03/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - March 2016 
OCEAN DREAM;02/2019;B;95,82;205;Cruise Ship Inspection Program 2018/2019 - February 2019
GRAND CELEBRATION;02/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - February 2013
PACIFIC PRINCESS;01/2013;A;98,81;60;Cruise Ship Inspection Program 2012/2013 - January 2013
BLEU DE FRANCE;05/2011;D;86,06;465;Cruise Ship Inspection Program 2010/2011 - May 2011
VIKING SEA;12/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  December 2017
VISTAMAR;01/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - January 2012
COSTA FAVOLOSA;12/2012;C;88,46;342;Cruise Ship Inspection Program 2012/2013 - December 2012
EUROPA 2;02/2015;A;99,39;30;Cruise Ship Inspection Program 2014/2015 - February 2015
LAUSTRAL;03/2016;C;92,24;375;Cruise Ship Inspection Program 2015/2016 - March 2016 
GRAND CELEBRATION;11/2012;A;98,81;60;Cruise Ship Inspection Program 2012/2013 - November 2012
SEA EXPLORER;03/2014;D;75,18;1230;Cruise Ship Inspection Program 2013/2014 - March 2014
AMERA (PRINSENDAM);03/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - February 2017
MSC ORCHESTRA;03/2013;A;98,71;65;Cruise Ship Inspection Program 2012/2013 - March 2013
MSC LIRICA;02/2011;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - February 2011
VEENDAM;02/2017;A;98,00;100;Cruise Ship Inspection Program 2016/2017 - February 2017
SILVER CLOUD;12/2013;D;87,57;585;Cruise Ship Inspection Program 2013/2014 - December 2013
BALMORAL;02/2016;B;95,86;205;Cruise Ship Inspection Program 2015/2016 - January 2016
MSC OPERA;12/2010;A;96,13;130;Cruise Ship Inspection Program 2010/2011 - December 2010
COSTA FAVOLOSA;03/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - March 2014
MSC SEAVIEW;12/2019;A;100,00;0;Cruise Ship Inspection Program 2019/2020 -  December 2019
REGATTA;11/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - novembro 2013
ALBATROS;10/2011;D;84,82;755;Cruise Ship Inspection Program 2011/2012  - October 2011
SEA PRINCESS;02/2017;D;87,18;635;Cruise Ship Inspection Program 2016/2017 - February 2017
AIDA CARA;12/2010;C;89,27;360;Cruise Ship Inspection Program 2010/2011 - November 2010
BOUDICCA;01/2017;A;97,00;145;Cruise Ship Inspection Program 2016/2017 - January 2017
CROWN PRINCESS;03/2017;C;92,10;395;Cruise Ship Inspection Program 2016/2017 - March 2017
SILVER WHISPER;01/2012;A;98,41;80;Cruise Ship Inspection Program 2011/2012 - January 2012
ZENITH;03/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - March 2014
OCEAN DREAM;08/2014;A;100,00;0;Cruise Ship Inspection Program 2014 - Copa
SEA DREAM II;02/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - February 2013
GRAND HOLIDAY;11/2012;B;96,05;195;Cruise Ship Inspection Program 2012/2013 - November 2012
VISION OF THE SEAS;04/2012;A;98,22;90;Cruise Ship Inspection Program 2011/2012 - April 2012
HANSEATIC;04/2011;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - April 2011
COSTA VITORIA;02/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - February 2012
SILVER SHADOW;02/2015;B;96,10;190;Cruise Ship Inspection Program 2014/2015 - February 2015
INSIGNIA;03/2012;D;86,77;670;Cruise Ship Inspection Program 2011/2012 - March 2012
SILVER CLOUD;12/2012;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - December 2012
CRYSTAL SERENITY;03/2013;D;83,10;830;Cruise Ship Inspection Program 2012/2013 - March 2013
CRYSTAL SERENITY;11/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  November 2017
INSIGNIA;03/2011;A;96,72;110;Cruise Ship Inspection Program 2010/2011 - March 2011
CELEBRITY INFINITY;02/2017;A;99,79;10;Cruise Ship Inspection Program 2016/2017 - February 2017
BOUDICCA;02/2011;A;98,21;60;Cruise Ship Inspection Program 2010/2011 - February 2011
SOVEREIGN (SOBERANO);03/2014;A;99,06;45;Cruise Ship Inspection Program 2013/2014 - March 2014
AMERA (PRINSENDAM);12/2011;A;98,17;90;Cruise Ship Inspection Program 2011/2012 - December 2011
VIKING JUPITER;11/2019;A;100,00;0;Cruise Ship Inspection Program 2019/2020 - November 2019
AMERA (PRINSENDAM);11/2018;A;100,00;0;Cruise Ship Inspection Program 2018/2019 -  November 2018
EMPRESS (IMPERATRIZ);03/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - March 2013
BRAEMAR;02/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - February 2017
MSC MUSICA;12/2012;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - December 2012
MSC FANTASIA;02/2013;A;99,11;45;Cruise Ship Inspection Program 2012/2013 - February 2013
MSC SINFONIA;01/2020;B;95,80;210;Cruise Ship Inspection Program 2019/2020 -  January 2020
SILVER WHISPER;12/2015;B;96,48;170;Cruise Ship Inspection Program 2015/2016 - December 2015
CELEBRITY ECLIPSE;02/2019;A;100,00;0;Cruise Ship Inspection Program 2018/2019 -  December 2018
QUEEN VICTORIA;02/2020;B;96,30;185;Cruise Ship Inspection Program 2019/2020 -  February 2020
CRYSTAL SERENITY;04/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - April 2015
ZAANDAM;12/2013;A;97,88;63;Cruise Ship Inspection Program 2013/2014 - December 2013
MSC MUSICA;12/2011;A;99,61;20;Cruise Ship Inspection Program 2011/2012 - December 2011
AMERA (PRINSENDAM);02/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  February 2018
MARCO POLO;01/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - January 2015
MARCO POLO;01/2013;A;97,04;150;Cruise Ship Inspection Program 2012/2013 - January 2013
VEENDAM;12/2012;A;97,33;135;Cruise Ship Inspection Program 2012/2013 - December 2012
AIDA CARA;02/2012;A;100,00;0;Cruise Ship Inspection Program 2011/2012 - February 2012
SOVEREIGN (SOBERANO);03/2013;B;95,72;180;Cruise Ship Inspection Program 2012/2013 - March 2013
HAMBURG;12/2019;A;98,65;65;Cruise Ship Inspection Program 2019/2020 -  December 2019
PACIFIC PRINCESS;01/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - January 2014
MSC ARMONIA;04/2012;A;99,41;30;Cruise Ship Inspection Program 2011/2012 - April 2012
COSTA FASCINOSA;12/2015;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - December 2015
AZAMARA PURSUIT;03/2019;A;98,60;70;Cruise Ship Inspection Program 2018/2019 - March 2019
GRAND CELEBRATION;02/2012;C;92,20;395;Cruise Ship Inspection Program 2011/2012 - February 2012
MSC POESIA;12/2014;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - December 2014
